,rid,uname,cid,review
27,27,User27,44,"This is an excellent course, especially for someone with near zero knowledge of financial statements and their analysis. The concepts are clearly presented, with interesting details and supporting examples of their use. The inane comments by cartoon characters using poorly simulated accents is only mildly irritating."
28,28,User28,83,"Great course. A must for every individual who has some idea about it and even if you don't, Aric and his team will guide you throughout this wonderful technique."
29,29,User29,95,i love professor Brian J Bushee!!
30,30,User30,27,"Wow ! Learning is so easy here, bring your innovation to reality , please join this course , Highly recommended !!!!"
31,31,User31,68,Mind-blowing course!
32,32,User32,71,it's awesome for beginners!
33,33,User33,34,"While there is some interesting content, particuarly in the last week on design thinking, some of the course topics don't seem to hold together well, and the videos include a lot of monotonous talking heads. While this conveys the benefit of being able to listen to some of the videos without consistently watching, the interview questions asked of speakers are sometimes printed on the screen and not asked verbally. If you're not watching, you miss the questions. I would like to see this course refocused on design thinking for 3D printing, with other applications interspersed as examples rather than constituting the lion's share of the course. I believe that format would both be more engaging and do a better job of delivering skills with more opportunity for practice."
34,34,User34,13,Prof Brain is just superb. His hold and teaching ability of complicated subject of accounting is unmatched.
35,35,User35,94,Very well thought out. Many useful and applicable techniques provided that can be put to work immediately.
36,36,User36,30,Nice introduction to 3D for absolute beginners. Very interesting interviews entrepreneurs.
37,37,User37,6,"easy to undestand, but it needs more examples"
38,38,User38,67,Good place to start if you don't know anything about 3D printing.
39,39,User39,81,Very interesting course!
40,40,User40,6,"Excellent course. Good classes, easy to follow, updated content, high quality videos."
41,41,User41,52,Very useful for understanding the basics of 3D printing technology.
42,42,User42,91,"Awesome Course! Very funny and really sophisticated! The last part is eye opening. Best course in this specialisation!It is not for beginners though, you should have a solid understanding of accounting for the first 3 lectures."
43,43,User43,12,Offers a nice introduction to Ableton and its Usage. However it would have been lovely if this was a longer course.. Loved the way of instructions and the topics covered.
44,44,User44,98,"While there is some interesting content, particuarly in the last week on design thinking, some of the course topics don't seem to hold together well, and the videos include a lot of monotonous talking heads. While this conveys the benefit of being able to listen to some of the videos without consistently watching, the interview questions asked of speakers are sometimes printed on the screen and not asked verbally. If you're not watching, you miss the questions. I would like to see this course refocused on design thinking for 3D printing, with other applications interspersed as examples rather than constituting the lion's share of the course. I believe that format would both be more engaging and do a better job of delivering skills with more opportunity for practice."
45,45,User45,0,Great course!
46,46,User46,20,"not a big fan of accounting honestly, but i quite enjoy the course. doesn't involve a lot of in-depth math, and its easy to follow."
47,47,User47,83,I really appreicated the tools and techniques presented in the course. Very very valuable for Merger and Acqusition projects that I will be involved in (if ever)
48,48,User48,61,Nice one.
49,49,User49,25,Good course . A must take for beginners !
50,50,User50,36,It's fantastic
51,51,User51,36,"This is my feedback as a Beta-Tester for the course:Week 1I thought that the videos were clear, well organized and flowed well from topic to topic. There was a clear logic as the professor developed the various ratios.What was missing for me was some in-line quizzes. Not the “tell me what I just told you type” but rather ones that make you think. So, for example, in the final video for Week 1, the optional video, instead of just suggesting that the students “play” with the spreadsheet, I think it would be better to give them an actual task or two… “change the assumption about X to <this value>. What is the impact on the Y ratio? Why?” I liked that he showed what numbers needed to be changed to make the share valuation closer to $55. But rather than just telling us the answer, this would be another opportunity to have the students stop the video and go try it themselves. With a specific task, it is likely that more students will go and work with the spreadsheet. This is where the real learning takes place.One of the things that I really liked about the design of prior courses by Professor Bushee was the fact that he had examples throughout the videos that had you apply the information right away. But, perhaps this is just me. I know that I learn a lot better by doing rather than just watching the videos and going “yeah… that makes sense. I understand…” I also recognize that some students, in past courses, have probably said they don’t find the in-line quizzes valuable. But, is that a reflection of the value of in-line quizzes as a whole or just in-line quizzes that simply require “parroting” something said in the video.I’m sure that the professor can come up with lots of examples. In Week 1 Video 1 the in-line quiz might provide some numbers for De-levered Net Income, Sales, Average Total Assets and Average Shareholder’s Equity and asking for the results of each of the ratios in the Dupont Analysis. And maybe a “think about what this means” type question that is not necessarily “marked” but for which an answer is provided in the video. Alternatively, he could have the students change some specific things in the Woof Junction spreadsheet and indicate what impact that has on the ratios and why.Week 1 Video 2 offers lots of similar opportunities with the Profitability and Turnover Ratios. Perhaps requiring the students to work backwards from a specific ratio to determine gross profit would be effective. Or, perhaps a question that relates strategy specifically to the ratios. For example, what would happen to the Gross Margin if Woof introduced a credit card and days receivable increased to 31.6 in 2015? Just something to engage people with the materials.All of the videos offer similar opportunities and I think having specific problems or questions will enhance the learning experience rather than just suggesting that they “go look at the spreadsheet”. The audience for these courses tends to be quite a bit different from your average upper tier university student and probably needs a bit more “hand holding” and “direction” in order to be successful.Also, if Professor Bushee expects students will watch the optional videos anyway, why make them optional? In the case of the Valuation Video, despite some of the mathematics being a little “scary” for some students, I think that the information there is really useful and helps to solidify an understanding of the spreadsheet.I’m wondering if an in-quiz question would be helpful. Perhaps it might provide a new set of financials for Woof Junction and ask for ratio calculation and what that means in terms of their position in the marketplace or something similar. Just some practice questions to get people working with the information.Same comments basically apply for the remainder of the weeks. I think that it would help the students to have some in-line quizzes – this not only breaks up the longer videos and helps to keep students focused but also provides a reinforcement of key concepts.I really liked the quiz for Week 1 even though I struggled with the questions where there are multiple correct responses. The quiz effectively reinforces the information covered very well and requires one to think about what was covered in the lectures.You may want to remind students that the questions may change from quiz to quiz. In many of these on-demand courses, the quiz questions do not change and students may be in the habit of not rereading the questions they have gotten correct on previous attempts.Week 2 – Revenue After Cash Collection at 7:39 – talking about Days Unearned Revenue and mentions that an “increase means slower future recognition”. A bit more explanation around what that means would be useful.Week 3 – no particular additional comments on the lectures other than some in-line questions might be good.. I found Benford’s Law really interesting.Week 4. It would be really nice to have something to break up the lectures – some in-line quiz questions might help. This would also help to reinforce the material.Week 4 quiz Question 9 -, the double negative wording of the question and the correct response may cause confusion for students – particularly for those for whom English is not their native language.Overall CommentsI enjoyed the course and learned a lot. I was wondering whether it would be possible to provide a summary document with all the key information from each week related to the ratio calculations and the key things to look for related to those ratios. I know that the ratios are provided in the spreadsheet but it might be good to have a written summary with some supplemental information about how to use the ratios.I think in-line quizzes or practice questions would be helpful for students – perhaps ones that asked students to do specific things in the spreadsheet and come back with an answer. They don’t need to be long or complicated – just something that gets people into the spreadsheets and working with them early. You may want to do something stronger to encourage them to “play” with the spreadsheet. Many will feel reluctant to change the numbers in the spreadsheet for fear of “messing” it up. Perhaps a reminder that they can change whatever they want because if they mess something up they can always download it again. Or they can save a copy and play in that leaving the original untouched.It also might be a good idea to have a “playground” sheet where there is a simple set of Financial Statements and the students can try changing things in the financial statements and see the impact on the key ratios without having to move from one spreadsheet to another – so, a combination of the Original tab and the first two columns of the Ratios tab. You might even want to have two columns for the ratios – one for the ratios with the original numbers that does not change (fixed values) and one for the changed numbers, so students can see the effect of the changes easily.In terms of the spreadsheets, I thought that the Original, the Ratios and the CommonSize tabs were fairly straight forward and relatively easy to understand. That may not be the case for people less familiar with MS-EXCEL but I don’t know what the target audience is for this course so the students may all be proficient with the tool. On the Valuation tab, I was wondering if the numbers in Row 41 should be highlighted in some way to emphasize that they are Years. That is not clear on first glance.There are a lot of mistakes in the subtitles. I pointed out many of these by flagging the specific videos where they occurred.Thank you for the opportunity to participate in the beta-test of this course. I hope that my comments are helpful and that I have not missed too much that causes students issues as the course goes live."
52,52,User52,7,"One of the best introduction to Ableton Live. This course is sharp, to the point and makes you sketch out a small track every week - a great way to get involved with the DAW."
53,53,User53,11,Nice one.
54,54,User54,73,"Excellent information covered, very understandable with practical examples and great professors."
55,55,User55,68,Great course with an even greater lecturer who helps ease users into Ableton Live.
56,56,User56,92,"The course content is quite good, though it could have been deeper in some areas.But its peer review system is not working well, if at all.Regards, An Le."
57,57,User57,22,"This course made me look at Accounting in a very different way; instead of common business schedules, it actually became exciting to read and find out what was really going on!"
58,58,User58,22,Videos that are presented in French could've been translated to English.
59,59,User59,50,"While I did not have time to complete the final assignment I did find this course useful for creating a firmer understanding of Ableton Live. The peer review process is a great idea and something which I found to be both engaging and useful for networking with fellow artists.The content of the course I feel is probably useful to someone with no prior knowledge of DAWs, but this is not my first DAW. As such the course felt a little slow and the assignments a little unchallenging. Personally my peer review experience ranged from listening to fully fleshed out ideas to listening to uninspired loops of nonsense. I still feel as though I benefited from the process, however, and I gained an invaluable resource in Blend.I would love a next level - fleshing out some of the ideas touched on throughout the course, as well as exploring other ideas such as sidechaining."
60,60,User60,63,Thanks for the course! It has opened me to the world of 3D printing - on when did it start and where it is now. :)
61,61,User61,95,"Great content, the videos and talks are very motivating and they give an exciting overview of the subject. Thanks for the great work."
62,62,User62,4,Really nice teacher!I could got the point eazliy but the v
63,63,User63,38,Great course. Fantastic ideas around modelling equity returns based business and operational performance
64,64,User64,77,very interesting
65,65,User65,42,perfect introduction to the 3D printing world!
66,66,User66,58,"Five stars is not enough to express my satisfaction and love to this course.The instructor is very proactive in community. Every questions I posted got direcly feedback from Teaching staff (and most of them are from Prof Bushee!!!)This is the besttttt course among all Wharton analytics sessions! Honestly, you have to try!!"
67,67,User67,69,This course was very informative and can easily be used in any business setting. I can go an apply the methods learned in this course to any organization's financial statement to get a better idea of their financial performance. I really enjoyed in week 4 how the information learned in prior weeks can be tied to nonfinancial measures in developing a causal model to improve the performance of a company.
68,68,User68,63,exemplary examples to how 3d Printing can be applied to real world problems.
69,69,User69,64,"was worth the time, thanks professor"
70,70,User70,34,Good experience to start with
71,71,User71,14,Very useful for understanding the basics of 3D printing technology.
72,72,User72,20,Great for getting me started. I feel much more confident in navigating my way around the Ableton workspace. Using blend has opened me up to some wonderful ideas and opportunities :)
73,73,User73,58,"Thank you very much for this awesome course, I really enjoyed and learned alot from it.I really liked the selected topics, they act like an intro to some really interesting fields in the programming.I've learned about NP multiple times but never found a use to it until now, the problems were really good and informative.I think the linear programming was pretty rushed, it should've been expanded over two weeks with more in details.Maybe add a problem or explain the use of duality ."
74,74,User74,32,"Very good course, I really wish for a next more advanced level course."
75,75,User75,23,"I was disappointed because the name is misleading. The course provides a good introduction & overview of the responsibilities of the CTO, but has very little specifically digital content. It deals with two-speed IT in a single short lecture, so of course the treatment is superficial. It is easy to find more in-depth material freely available, on the McKinsey website for example."
76,76,User76,94,"I enjoyed this class very much. All the content was very easy to understand and follow. I love the fact that I can pick up the materials on my phone or table through the app! Is very convenient. Before this class I had no idea 3D printing had been around for so long, I thought it was someone newer, it's amazing to see all the different applications it can be use for."
77,77,User77,37,Great course. Fantastic ideas around modelling equity returns based business and operational performance
78,78,User78,86,Good course . A must take for beginners !
79,79,User79,24,Got new prospects and vision of 3D printing tech
80,80,User80,78,Excellent online course that caters to a wide spectrum of audiences with different learning backgrounds.Also love the cut scenes to the classroom where students make funny comments or ask questions haha
81,81,User81,51,"The MOOC teaches what it is supposed to, although more classes would be nice since Ableton is such a big program."
82,82,User82,54,"Thank you for offering this course. It has taught me a lot of things that I hadn't known. I'm interested in Accounting and there were some times I didn't know where I could gain the materials for study. Now thanks to your courses, I don't need to worry so much. Hope you will continue to produce more"
83,83,User83,41,A really challenging and enriching course about the amazing world of 3D Printing. In this course you will discover the unimaginable amount of applications that 3D Printing offers and will open your mind in ways you didn't think possible!
84,84,User84,51,"easy to undestand, but it needs more examples"
85,85,User85,12,The best course for beginners.
86,86,User86,17,Excellent thoughts and concepts presented.
87,87,User87,41,"Great thanks for Dr.aric ,who has a smiley face ,If any one enrolled this course ,he would get a great knowledge and usefull information about 3d printing or addtive manufacturing ,throw a simple & exciting videos ,not only that ,you would get another benefits not only information about 3d priting ,like ,getting knowledge of many companies from the inside ,see stories of successfull people which achieves you to keep up with your work ,meet with your colleagues and make new friends ,and finally grow up your english skills ,like listening and grow up your vocabulary .....Great thaks for coursera team ,it's our pleasure to learn with you ........"
88,88,User88,0,"Do not hesitate to enroll, it's a brain storming course & I like the way of the teaching here!"
89,89,User89,49,A very comprehensive and total introduction to basic concepts of 3d printing
90,90,User90,57,Great course
91,91,User91,34,"The course was great! I think its a great point to start in 3d printing, it has lot of information, links, interviews and it easy to understand. Keep up the good work!!!"
92,92,User92,38,Finally i am able to complete this course. This course was little tougher than the other 3 courses due to some complicated accounting spreadsheet calculations. But i finally i am able to make it. Good Luck to rest of the folks.
93,93,User93,92,"Great working examples to learn Analytics in Financial Statement Analysis. Pace of videos was great. Working excel worksheet gives perfect hands on experience to vary and run the scenarios. Having done ""Introduction to Financial Accounting"" by same professor gave little bit more visibility into reading statements and understanding ratio analysis.Virtual Classroom is getting more new students in each course. I am looking forward to Advance Financial Accounting course."
94,94,User94,1,"Do not hesitate to enroll, it's a brain storming course & I like the way of the teaching here!"
95,95,User95,83,An excellent course. I only wish the portion on non-financial metrics included some examples or insight in how best to quantify non-financial metrics in do
96,96,User96,88,A very comprehensive and total introduction to basic concepts of 3d printing
97,97,User97,7,"I enjoyed the course a lot. I cannot thank the instructors enough.It would have been more interesting if we could go deeper on linear programming, such as extension to integer programming. The discussion about the duality was a bit too fast to me."
98,98,User98,15,Very insightful topic! A good overview of the use of analytics in accounting!
99,99,User99,39,Great course! Thank you!
100,100,User100,51,must have if you want to start using ableton
101,101,User101,64,If only it was a week longer.
102,102,User102,98,it's a very good an easy to understand first inmersion in the world of 3d printing
103,103,User103,88,Full Individuals speaking
104,104,User104,81,a very good overview that makes you long for
105,105,User105,47,A technical but fun exploration of accounting analytics which completed the full gamut of analytics in a business context covered in the specialization.
106,106,User106,28,Great course to start with 3D printing technology.
107,107,User107,17,Excellent thoughts and concepts presented.
108,108,User108,19,difficult for people without accounting background to take.
109,109,User109,95,Incredibile package.
110,110,User110,47,Departments rigidity to information sharing as an ailment at middle and lower organizational levels was a notable issue
111,111,User111,89,Great course!
112,112,User112,60,Good course . A must take for beginners !
113,113,User113,68,"This is a great intro class, designed to be completed within the Ableton trial period. Ableton should pay Erin a commission on sales that come out of this course, because I imagine it's bringing them 100s of new sales!The materials (mostly videos) are excellent and easy to follow. I learned a lot in this short class and would love to see an ""intermediate"" Ableton class in the future.My only complaints are related to the collaboration software that you need to use for this course, blend.io. Site navigation in blend.io can be painfully slow, and the site is buggy. I would have preferred to simply share information via dropbox or some other file sharing method.The peer review process is a great idea, although I think it's really tricky to do this in a music/art, because there is so much subjectivity and not much of a rubric. (There are some quantitative questions just to verify that the student follows instructions, but the open feedback is totally open). But, overall, the peer review works pretty well and gives students an additional incentive to turn in a quality product."
114,114,User114,85,interesting and easy learning!
115,115,User115,27,"Simply an introduction but definitely helps learn the program, at least on a surface level. You will gain basic functionality and be well on your way to crafting more complex arrangements if you desire."
116,116,User116,31,Offers a nice introduction to Ableton and its Usage. However it would have been lovely if this was a longer course.. Loved the way of instructions and the topics covered.
117,117,User117,96,"really informative, original and useful!"
118,118,User118,10,Thank you so much for this good-quality course! I benefit a lot. Many thanks to dear professors!
119,119,User119,57,"Really useful course, concise and resourceful"
120,120,User120,90,"week 1 and 2 were kind of boring, but maybe necessary; weeks 3 and 4 were more interesting from a business point of view (i'm not so much interested in accounting as in business decisions).the virtual class of professor Bushee was quite funny :)"
121,121,User121,9,"I recommend this course to all my colleagues. Its enriched content certainly helped me to understand things in better way and provided content in structured way, which is I liked most."
122,122,User122,14,Very Basic course for learners without Autocad experiences.
123,123,User123,70,I love to be taught accounting by Sir Brian. A very marvellous course.
124,124,User124,25,"Great working examples to learn Analytics in Financial Statement Analysis. Pace of videos was great. Working excel worksheet gives perfect hands on experience to vary and run the scenarios. Having done ""Introduction to Financial Accounting"" by same professor gave little bit more visibility into reading statements and understanding ratio analysis.Virtual Classroom is getting more new students in each course. I am looking forward to Advance Financial Accounting course."
125,125,User125,68,Great review of what can be accomplished through 3D printing.
126,126,User126,21,Excellent course! Very thorough introduction and has only peaked my curiosity to go further in understanding this powerful technology!
127,127,User127,66,"This is an excellent course, especially for someone with near zero knowledge of financial statements and their analysis. The concepts are clearly presented, with interesting details and supporting examples of their use. The inane comments by cartoon characters using poorly simulated accents is only mildly irritating."
128,128,User128,14,Offers a nice introduction to Ableton and its Usage. However it would have been lovely if this was a longer course.. Loved the way of instructions and the topics covered.
129,129,User129,26,"Very good course, I really wish for a next more advanced level course."
130,130,User130,74,Very practical and complementary for other accounting courses.
131,131,User131,11,Very good course well presented especially as the topic can be fairly complex.
132,132,User132,57,Awesome course for those who want to learn Ableton´s Live DAW!
133,133,User133,7,difficult for people without accounting background to take.
134,134,User134,16,Week 4 was the best and the more appropiate for the specialization.
135,135,User135,53,Good structure... funny prof! ... alot to digest but worth it.
136,136,User136,72,I found this course was very interesting and a great learning tool and I am glad I would recommend this course to people Ni:Awen
137,137,User137,71,"Excellent Material and instructions. Hard, but valuable"
138,138,User138,86,"Excellent introduction to live 9. Very comprehensive, easy to understand."
139,139,User139,39,A great course to teach the basics of this software!
140,140,User140,2,It's a very good course.
141,141,User141,32,"Great instructor, I like how you can go back and keep going over the instructional videos throughout the course."
142,142,User142,0,Very light and practical course. Good for beginners but also nice to refresh some tips for intermediate users.
143,143,User143,27,This course was one of the toughest courses i pursued so far... I was expecting a lot from this course. from basic to advanced and more of fundamentals. this course should be floated as full specialization rather than as a part of other specialization.
144,144,User144,9,Very interesting and well-designed MOOC !
145,145,User145,54,Good information but way too short for what Coursera charges.
146,146,User146,89,Good quality.
147,147,User147,69,"Well-presented contents with comprehensive illustrations and easy to follow, cover in proper order every aspect of drawing and AutoCAD. Would appreciate if the English subtitle is available in the whole course, so more students could access to these handy lectures and exercises."
148,148,User148,8,"Awesome Course! Very funny and really sophisticated! The last part is eye opening. Best course in this specialisation!It is not for beginners though, you should have a solid understanding of accounting for the first 3 lectures."
149,149,User149,4,"Amazing! Very interactive, engaging and comprehensive."
150,150,User150,52,Very informative an approachable course. I really like the way Aric presents the information. I am excited to complete the rest of the Specialization.
151,151,User151,98,"Great content, I still need to go over it to glean the wealth of information that has been put together here."
152,152,User152,98,"Five stars is not enough to express my satisfaction and love to this course.The instructor is very proactive in community. Every questions I posted got direcly feedback from Teaching staff (and most of them are from Prof Bushee!!!)This is the besttttt course among all Wharton analytics sessions! Honestly, you have to try!!"
153,153,User153,93,"This is my feedback as a Beta-Tester for the course:Week 1I thought that the videos were clear, well organized and flowed well from topic to topic. There was a clear logic as the professor developed the various ratios.What was missing for me was some in-line quizzes. Not the “tell me what I just told you type” but rather ones that make you think. So, for example, in the final video for Week 1, the optional video, instead of just suggesting that the students “play” with the spreadsheet, I think it would be better to give them an actual task or two… “change the assumption about X to <this value>. What is the impact on the Y ratio? Why?” I liked that he showed what numbers needed to be changed to make the share valuation closer to $55. But rather than just telling us the answer, this would be another opportunity to have the students stop the video and go try it themselves. With a specific task, it is likely that more students will go and work with the spreadsheet. This is where the real learning takes place.One of the things that I really liked about the design of prior courses by Professor Bushee was the fact that he had examples throughout the videos that had you apply the information right away. But, perhaps this is just me. I know that I learn a lot better by doing rather than just watching the videos and going “yeah… that makes sense. I understand…” I also recognize that some students, in past courses, have probably said they don’t find the in-line quizzes valuable. But, is that a reflection of the value of in-line quizzes as a whole or just in-line quizzes that simply require “parroting” something said in the video.I’m sure that the professor can come up with lots of examples. In Week 1 Video 1 the in-line quiz might provide some numbers for De-levered Net Income, Sales, Average Total Assets and Average Shareholder’s Equity and asking for the results of each of the ratios in the Dupont Analysis. And maybe a “think about what this means” type question that is not necessarily “marked” but for which an answer is provided in the video. Alternatively, he could have the students change some specific things in the Woof Junction spreadsheet and indicate what impact that has on the ratios and why.Week 1 Video 2 offers lots of similar opportunities with the Profitability and Turnover Ratios. Perhaps requiring the students to work backwards from a specific ratio to determine gross profit would be effective. Or, perhaps a question that relates strategy specifically to the ratios. For example, what would happen to the Gross Margin if Woof introduced a credit card and days receivable increased to 31.6 in 2015? Just something to engage people with the materials.All of the videos offer similar opportunities and I think having specific problems or questions will enhance the learning experience rather than just suggesting that they “go look at the spreadsheet”. The audience for these courses tends to be quite a bit different from your average upper tier university student and probably needs a bit more “hand holding” and “direction” in order to be successful.Also, if Professor Bushee expects students will watch the optional videos anyway, why make them optional? In the case of the Valuation Video, despite some of the mathematics being a little “scary” for some students, I think that the information there is really useful and helps to solidify an understanding of the spreadsheet.I’m wondering if an in-quiz question would be helpful. Perhaps it might provide a new set of financials for Woof Junction and ask for ratio calculation and what that means in terms of their position in the marketplace or something similar. Just some practice questions to get people working with the information.Same comments basically apply for the remainder of the weeks. I think that it would help the students to have some in-line quizzes – this not only breaks up the longer videos and helps to keep students focused but also provides a reinforcement of key concepts.I really liked the quiz for Week 1 even though I struggled with the questions where there are multiple correct responses. The quiz effectively reinforces the information covered very well and requires one to think about what was covered in the lectures.You may want to remind students that the questions may change from quiz to quiz. In many of these on-demand courses, the quiz questions do not change and students may be in the habit of not rereading the questions they have gotten correct on previous attempts.Week 2 – Revenue After Cash Collection at 7:39 – talking about Days Unearned Revenue and mentions that an “increase means slower future recognition”. A bit more explanation around what that means would be useful.Week 3 – no particular additional comments on the lectures other than some in-line questions might be good.. I found Benford’s Law really interesting.Week 4. It would be really nice to have something to break up the lectures – some in-line quiz questions might help. This would also help to reinforce the material.Week 4 quiz Question 9 -, the double negative wording of the question and the correct response may cause confusion for students – particularly for those for whom English is not their native language.Overall CommentsI enjoyed the course and learned a lot. I was wondering whether it would be possible to provide a summary document with all the key information from each week related to the ratio calculations and the key things to look for related to those ratios. I know that the ratios are provided in the spreadsheet but it might be good to have a written summary with some supplemental information about how to use the ratios.I think in-line quizzes or practice questions would be helpful for students – perhaps ones that asked students to do specific things in the spreadsheet and come back with an answer. They don’t need to be long or complicated – just something that gets people into the spreadsheets and working with them early. You may want to do something stronger to encourage them to “play” with the spreadsheet. Many will feel reluctant to change the numbers in the spreadsheet for fear of “messing” it up. Perhaps a reminder that they can change whatever they want because if they mess something up they can always download it again. Or they can save a copy and play in that leaving the original untouched.It also might be a good idea to have a “playground” sheet where there is a simple set of Financial Statements and the students can try changing things in the financial statements and see the impact on the key ratios without having to move from one spreadsheet to another – so, a combination of the Original tab and the first two columns of the Ratios tab. You might even want to have two columns for the ratios – one for the ratios with the original numbers that does not change (fixed values) and one for the changed numbers, so students can see the effect of the changes easily.In terms of the spreadsheets, I thought that the Original, the Ratios and the CommonSize tabs were fairly straight forward and relatively easy to understand. That may not be the case for people less familiar with MS-EXCEL but I don’t know what the target audience is for this course so the students may all be proficient with the tool. On the Valuation tab, I was wondering if the numbers in Row 41 should be highlighted in some way to emphasize that they are Years. That is not clear on first glance.There are a lot of mistakes in the subtitles. I pointed out many of these by flagging the specific videos where they occurred.Thank you for the opportunity to participate in the beta-test of this course. I hope that my comments are helpful and that I have not missed too much that causes students issues as the course goes live."
154,154,User154,53,Providing what are the insight we need to look before investing in a company and how interpret the balance sheet and found the
155,155,User155,48,Wonderful! Very convenient discourse and utterly concise.
156,156,User156,48,No practical knowledge learnd and no clear examples of the topics. Too complex all the course
157,157,User157,10,really great course
158,158,User158,84,Very interesting course!
159,159,User159,17,poor course. never give any algorithm. No clue where the problem come from. The forum is only help a few people. No general ideas how to solve the problem. waist a lot of time debugging but still couldn't pass the assignment.total waste my time and garbage course.
160,160,User160,44,Full Individuals speaking
161,161,User161,22,Extremely useful! I recommend it :)
162,162,User162,50,"Really useful course, concise and resourceful"
163,163,User163,16,"Gives a soft view and precise information about what to do and how to do in Live.If you are looking for some input to start recording yourself or to start creating any kind of music, i strongly recommend this!"
164,164,User164,28,Thank you so much for this course. Really... very neccesary and important for people who loves music.
165,165,User165,0,Good course . A must take for beginners !
166,166,User166,2,"If you know little or nothing about additive, and it sounds interesting, this is a good place to start!"
167,167,User167,59,"Great intro to Ableton, with good hands-on experience. Nice starting point for those who seek to expand their music creation toolset."
168,168,User168,92,Brain Bushee's videos are really impressive. Some areas are too technical for a beginner to understand. The rest of the material provide good understanding...
169,169,User169,54,Very boring
170,170,User170,48,"Great to start with Ableton, even i start with some youtube tutorial, this course really works for me cause i can see some errors i did."
171,171,User171,29,"It's mostly very basic stuff, but even then it introduced me to concepts I wasn't aware of."
172,172,User172,58,Practically oriented and brilliantly organized!
173,173,User173,19,Eye and mind opening course.
174,174,User174,24,Thank you Ms professor Erin Bara you are the pest
175,175,User175,97,"This course is very interesting, enlightening and a wonderful introduction especially for learners with no prior experience with 3D printing."
176,176,User176,4,Awesome course for those who want to learn Ableton´s Live DAW!
177,177,User177,84,Most fruitful course for the most updated Accounting Analytics
178,178,User178,78,Really great course! The videos were very clear and I learned a ton about a program I've been using for years to record audio only.
179,179,User179,2,"I really liked The 3D Printing Revolution course. It's easy to understand, you don't need any background knowledge, but you will find out so much about this topic - including materials that are used, technologies, 3D printing companies... Also, the materials cover history and the future of 3D printing. It's a great introductory course and the instructor (and the guests) are amazing. I recommend it!"
180,180,User180,26,Course is comprehensive and detailed. But is a bit fast paced for people new to IT Finance
181,181,User181,12,Lot of considerably complex and dry (accounting and statistics!) subject matter covered at a high level without much discussion! Quiz questions are unnecessarily complex - which (IMHO) will discourage / turn off those who are new to this subject matter in completing this course. The last week is pretty interesting though!I am taking the full business analytic course - and find that the quality and complexity of content is all over the place!! Some are way too simple and some are highly complex.
182,182,User182,4,Very clear. Excellent instructor and it's free if you don't pay for the cert! Can you have a better class experience? Thank you Prof. Bushee!
183,183,User183,76,"Great intro to Ableton, with good hands-on experience. Nice starting point for those who seek to expand their music creation toolset."
184,184,User184,90,Excellent course! Totally recommended!
185,185,User185,31,I learned so much in this class and the instructor did a great job explaining the contents
